

#
# critical paths
#
# Path 1 (delay: 405.220)
#node                  mu      std
#---------------------------------
G42                28.000    3.000
G328               48.000    4.243
G109               96.269    6.561
G266              129.539    5.689
G264              170.539    6.954
G260              207.778    7.538
G259              248.778    8.534
G83               286.066    9.051
G87               333.066   10.108
G101              365.220   11.271
G102              405.220   11.663
#---------------------------------

# Path 2 (delay: 405.076)
#node                  mu      std
#---------------------------------
G42                28.000    3.000
G328               48.000    4.243
G235               91.638    4.603
G222              131.076    4.959
G223              172.076    6.371
G220              208.076    6.678
G219              249.076    7.784
G76               286.076    8.342
G80               333.076    9.478
G98               365.076   10.716
G99               405.076   11.128
#---------------------------------

# Path 3 (delay: 339.764)
#node                  mu      std
#---------------------------------
G42                28.000    3.000
G328               48.000    4.243
G194               89.000    5.831
G173              128.125    5.798
G174              171.125    8.344
G67               217.125    8.867
G71               266.125   10.434
G95               299.764    9.503
G96               339.764    9.966
#---------------------------------

# Path 4 (delay: 328.027)
#node                  mu      std
#---------------------------------
G42                28.000    3.000
G328               48.000    4.243
G160               93.087    5.172
G157              129.111    5.506
G158              170.111    6.806
G60               208.027    6.465
G64               256.027    8.173
G92               288.027    9.581
G93               328.027   10.040
#---------------------------------

# Path 5 (delay: 269.783)
#node                  mu      std
#---------------------------------
G40                28.000    3.000
G317               48.000    4.243
G252               91.638    4.603
G153              134.573    5.039
G151              177.573    7.835
G89               229.783    7.193
G90               269.783    7.794
#---------------------------------
#
